Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",CAP
127,TATAELXSI,Tata Elxsi Limited,"3,711,115.34",LARGECAP
128,DALBHARAT,Dalmia Bharat Limited,"3,690,082.21",LARGECAP
129,HDFCAMC,HDFC Asset Management Company Limited,"3,644,974.01",LARGECAP
130,INDIANB,Indian Bank,"3,593,720.41",LARGECAP
131,ASTRAL,Astral Limited,"3,591,336.72",LARGECAP
132,BHARATFORG,Bharat Forge Limited,"3,587,127.62",LARGECAP
133,LTTS,L&T Technology Services Limited,"3,567,801.91",LARGECAP
134,MRF,MRF Limited,"3,564,561.94",LARGECAP
135,TATACOMM,Tata Communications Limited,"3,549,675.00",LARGECAP
136,NYKAA,FSN E-Commerce Ventures Limited,"3,543,169.53",LARGECAP
137,CONCOR,Container Corporation of India Limited,"3,535,430.45",LARGECAP
138,PERSISTENT,Persistent Systems Limited,"3,522,810.38",LARGECAP
139,PATANJALI,Patanjali Foods Limited,"3,508,454.12",LARGECAP
140,IRFC,Indian Railway Finance Corporation Limited,"3,476,222.60",LARGECAP
141,LINDEINDIA,Linde India Limited,"3,436,826.26",LARGECAP
142,IDFCFIRSTB,IDFC First Bank Limited,"3,435,018.22",LARGECAP
143,PETRONET,Petronet LNG Limited,"3,432,750.20",LARGECAP
144,SOLARINDS,Solar Industries India Limited,"3,431,835.34",LARGECAP
145,SAIL,Steel Authority of India Limited,"3,415,944.41",LARGECAP
146,MPHASIS,MphasiS Limited,"3,383,193.77",LARGECAP
147,HINDPETRO,Hindustan Petroleum Corporation Limited,"3,359,122.48",LARGECAP
148,APLAPOLLO,APL Apollo Tubes Limited,"3,342,806.97",LARGECAP
149,FLUOROCHEM,Gujarat Fluorochemicals Limited,"3,317,689.70",LARGECAP
150,NMDC,NMDC Limited,"3,269,090.83",LARGECAP
151,HONAUT,Honeywell Automation India Limited,"3,217,005.83",LARGECAP
152,SUPREMEIND,Supreme Industries Limited,"3,192,883.89",LARGECAP
153,GUJGASLTD,Gujarat Gas Limited,"3,163,841.01",LARGECAP
154,BANDHANBNK,Bandhan Bank Limited,"3,153,212.41",LARGECAP
155,ACC,ACC Limited,"3,130,789.25",LARGECAP
156,OBEROIRLTY,Oberoi Realty Limited,"3,063,712.45",LARGECAP
157,BANKINDIA,Bank of India,"3,063,312.07",LARGECAP
158,RECLTD,REC Limited,"3,040,057.11",LARGECAP
159,AUROPHARMA,Aurobindo Pharma Limited,"3,035,747.93",LARGECAP
