Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",CAP
"1,214",NXTDIGITAL,NXTDIGITAL LIMITED,37493,SMALLCAP
"1,215",GOACARBON,Goa Carbon Limited,37428,SMALLCAP
"1,216",BIRLACABLE,Birla Cable Limited,37380,SMALLCAP
"1,217",RITCO,Ritco Logistics Limited,37082,SMALLCAP
"1,218",SELAN,Selan Exploration Technology Limited,36997,SMALLCAP
"1,219",ASCOM,Ascom Leasing & Investments Limited,36900,SMALLCAP
"1,220",OSIAHYPER,Osia Hyper Retail Limited,36661,SMALLCAP
"1,221",HINDCOMPOS,Hindustan Composites Limited,36598,SMALLCAP
"1,222",DHANBANK,Dhanlaxmi Bank Limited,36560,SMALLCAP
"1,223",DYCL,Dynamic Cables Limited,36554,SMALLCAP
"1,224",DHUNINV,Dhunseri Investments Limited,36546,SMALLCAP
"1,225",EIFFL,Euro India Fresh Foods Limited,36382,SMALLCAP
"1,226",MUNJALAU,Munjal Auto Industries Limited,36300,SMALLCAP
"1,227",NAHARINDUS,Nahar Industrial Enterprises Limited,36051,SMALLCAP
"1,228",DELPHIFX,DELPHI WORLD MONEY LIMITED,36038,SMALLCAP
"1,229",URJA,Urja Global Limited,35994,SMALLCAP
"1,230",PRIMESECU,Prime Securities Limited,35852,SMALLCAP
"1,231",NECLIFE,Nectar Lifesciences Limited,35770,SMALLCAP
"1,232",NBIFIN,N. B. I. Industrial Finance Company Limited,35680,SMALLCAP
"1,233",GRPLTD,GRP Limited,35600,SMALLCAP
"1,234",MAWANASUG,Mawana Sugars Limited,35244,SMALLCAP
"1,235",ZIMLAB,Zim Laboratories Limited,35204,SMALLCAP
"1,236",PDMJEPAPER,Pudumjee Paper Products Limited,35084,SMALLCAP
"1,237",ONEPOINT,One Point One Solutions Limited,35073,SMALLCAP
"1,238",MAXIND,Max India Limited,35047,SMALLCAP
"1,239",SHYAMCENT,Shyam Century Ferrous Limited,35009,SMALLCAP
"1,240",VARDHACRLC,Vardhman Acrylics Limited,34958,SMALLCAP
"1,241",RADHIKAJWE,Radhika Jeweltech Limited,34940,SMALLCAP
"1,242",NPST,Network People Services Technologies Limited,34937,SMALLCAP
"1,243",THEINVEST,The Investment Trust Of India Limited,34924,SMALLCAP
"1,244",HTMEDIA,HT Media Limited,34796,SMALLCAP
"1,245",NRAIL,N R Agarwal Industries Limited,34702,SMALLCAP
"1,246",RCOM,Reliance Communications Limited,34569,SMALLCAP
"1,247",DICIND,DIC India Limited,34536,SMALLCAP
"1,248",OSWALAGRO,Oswal Agro Mills Limited,34498,SMALLCAP
"1,249",POCL,Pondy Oxides & Chemicals Limited,34479,SMALLCAP
"1,250",AARTISURF,Aarti Surfactants Limited,34411,SMALLCAP
"1,251",SKMEGGPROD,SKM Egg Products Export (India) Limited,34400,SMALLCAP
"1,252",SOLEX,Solex Energy Limited,34360,SMALLCAP
"1,253",DEEPENR,DEEP ENERGY RESOURCES LIMITED,34336,SMALLCAP
"1,254",FCSSOFT,FCS Software Solutions Limited,34191,SMALLCAP
"1,255",MUNJALSHOW,Munjal Showa Limited,34076,SMALLCAP
"1,256",KOTHARIPRO,Kothari Products Limited,34052,SMALLCAP
"1,257",PONNIERODE,Ponni Sugars (Erode) Limited,34033,SMALLCAP
"1,258",CHEMBOND,Chembond Chemicals Ltd,34017,SMALLCAP
"1,259",USASEEDS,Upsurge Seeds Of Agriculture Limited,33993,SMALLCAP
"1,260",KERNEX,Kernex Microsystems (India) Limited,33878,SMALLCAP
"1,261",RANASUG,Rana Sugars Limited,33785,SMALLCAP
"1,262",CUPID,Cupid Limited,33752,SMALLCAP
"1,263",BGRENERGY,BGR Energy Systems Limited,33699,SMALLCAP
"1,264",GENUSPAPER,Genus Paper & Boards Limited,33555,SMALLCAP
"1,265",GSS,GSS Infotech Limited,33552,SMALLCAP
"1,266",PENINLAND,Peninsula Land Limited,33365,SMALLCAP
"1,267",JYOTISTRUC,Jyoti Structures Limited,33313,SMALLCAP
"1,268",ADVANIHOTR,Advani Hotels & Resorts (India) Limited,33301,SMALLCAP
"1,269",KAYA,Kaya Limited,33222,SMALLCAP
"1,270",KOTHARIPET,Kothari Petrochemicals Limited,33219,SMALLCAP
"1,271",LIBERTSHOE,Liberty Shoes Limited,33168,SMALLCAP
"1,272",KHADIM,Khadim India Limited,33145,SMALLCAP
"1,273",PPL,Prakash Pipes Limited,33139,SMALLCAP
"1,274",VIPCLOTHNG,VIP Clothing Limited,33121,SMALLCAP
"1,275",NDRAUTO,Ndr Auto Components Limited,32996,SMALLCAP
"1,276",PROZONINTU,Prozone Intu Properties Limited,32733,SMALLCAP
"1,277",INDOBORAX,Indo Borax & Chemicals Limited,32716,SMALLCAP
"1,278",CONSOFINVT,Consolidated Finvest & Holdings Limited,32682,SMALLCAP
"1,279",INDSWFTLAB,Ind-Swift Laboratories Limited,32616,SMALLCAP
"1,280",ZUARIIND,ZUARI INDUSTRIES LIMITED,32432,SMALLCAP
"1,281",GVKPIL,GVK Power & Infrastructure Limited,32362,SMALLCAP
"1,282",SBGLP,Suratwwala Business Group Limited,32099,SMALLCAP
"1,283",HIRECT,Hind Rectifiers Limited,32092,SMALLCAP
"1,284",CHEMFAB,Chemfab Alkalis Limited,32087,SMALLCAP
"1,285",GLOBAL,Global Education Limited,31640,SMALLCAP
"1,286",ANNAPURNA,Annapurna Swadisht Limited,31604,SMALLCAP
"1,287",INTLCONV,International Conveyors Limited,31464,SMALLCAP
"1,288",EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,31374,SMALLCAP
"1,289",ORBTEXP,Orbit Exports Limited,31372,SMALLCAP
"1,290",SOUTHWEST,South West Pinnacle Exploration Limited,31167,SMALLCAP
"1,291",KAMATHOTEL,Kamat Hotels (I) Limited,31013,SMALLCAP
"1,292",RAJMET,Rajnandini Metal Limited,30966,SMALLCAP
"1,293",RAMAPHO,Rama Phosphates Limited,30910,SMALLCAP
"1,294",OMINFRAL,OM INFRA LIMITED,30865,SMALLCAP
"1,295",HMVL,Hindustan Media Ventures Limited,30832,SMALLCAP
"1,296",AYMSYNTEX,AYM Syntex Limited,30716,SMALLCAP
"1,297",MSPL,MSP Steel & Power Limited,30448,SMALLCAP
"1,298",WEALTH,Wealth First Portfolio Managers Limited,30335,SMALLCAP
"1,299",UNITECH,Unitech Limited,30087,SMALLCAP
"1,300",WEBELSOLAR,Websol Energy System Limited,29971,SMALLCAP
"1,301",NURECA,Nureca Limited,29956,SMALLCAP
"1,302",LYKALABS,Lyka Labs Limited,29938,SMALLCAP
"1,303",GKWLIMITED,GKW Limited,29785,SMALLCAP
"1,304",MHLXMIRU,Mahalaxmi Rubtech Limited,29710,SMALLCAP
"1,305",AURUM,Aurum PropTech Limited,29574,SMALLCAP
"1,306",SKYGOLD,Sky Gold Limited,29272,SMALLCAP
"1,307",ALBERTDAVD,Albert David Limited,29252,SMALLCAP
"1,308",SHIVAUM,Shiv Aum Steels Limited,29241,SMALLCAP
"1,309",PAVNAIND,Pavna Industries Limited,29203,SMALLCAP
"1,310",CINELINE,Cineline India Limited,29167,SMALLCAP
"1,311",KOTARISUG,Kothari Sugars And Chemicals Limited,28928,SMALLCAP
"1,312",SHEMAROO,Shemaroo Entertainment Limited,28908,SMALLCAP
"1,313",SILINV,SIL Investments Limited,28752,SMALLCAP
"1,314",SKP,SKP Bearing Industries Limited,28718,SMALLCAP
"1,315",MMP,MMP Industries Limited,28603,SMALLCAP
"1,316",EQUIPPP,Equippp Social Impact Technologies Limited,28506,SMALLCAP
"1,317",MANORG,Mangalam Organics Limited,28490,SMALLCAP
"1,318",CYBERTECH,Cybertech Systems And Software Limited,28359,SMALLCAP
"1,319",TRIGYN,Trigyn Technologies Limited,28292,SMALLCAP
"1,320",SINTERCOM,Sintercom India Limited,28161,SMALLCAP
"1,321",JINDALPHOT,Jindal Photo Limited,28005,SMALLCAP
"1,322",SARLAPOLY,Sarla Performance Fibers Limited,27890,SMALLCAP
"1,323",RUCHIRA,Ruchira Papers Limited,27845,SMALLCAP
"1,324",ESSENTIA,Integra Essentia Limited,27650,SMALLCAP
"1,325",MACPOWER,Macpower CNC Machines Limited,27591,SMALLCAP
"1,326",AUTOIND,Autoline Industries Limited,27527,SMALLCAP
"1,327",ORIENTABRA,Orient Abrasives Limited,27397,SMALLCAP
"1,328",APOLSINHOT,Apollo Sindoori Hotels Limited,27359,SMALLCAP
"1,329",DYNPRO,Dynemic Products Limited,27281,SMALLCAP
"1,330",CLEDUCATE,CL Educate Limited,27259,SMALLCAP
"1,331",PARSVNATH,Parsvnath Developers Limited,27199,SMALLCAP
"1,332",GSCLCEMENT,Gujarat Sidhee Cement Limited,27177,SMALLCAP
"1,333",MIRCELECTR,MIRC Electronics Limited,27137,SMALLCAP
"1,334",VISHWARAJ,Vishwaraj Sugar Industries Limited,27134,SMALLCAP
"1,335",HINDMOTORS,Hindustan Motors Limited,26917,SMALLCAP
"1,336",NINSYS,NINtec Systems Limited,26889,SMALLCAP
"1,337",NATHBIOGEN,Nath Bio-Genes (India) Limited,26843,SMALLCAP
"1,338",KNAGRI,KN Agri Resources Limited,26836,SMALLCAP
"1,339",GEECEE,GeeCee Ventures Limited,26725,SMALLCAP
"1,340",KCPSUGIND,KCP Sugar and Industries Corporation Limited,26702,SMALLCAP
"1,341",STEL,Stel Holdings Limited,26520,SMALLCAP
"1,342",PODDARMENT,Poddar Pigments Limited,26355,SMALLCAP
"1,343",KOTYARK,Kotyark Industries Limited,26351,SMALLCAP
"1,344",HITECHCORP,Hitech Corporation Limited,26339,SMALLCAP
"1,345",EUROBOND,Euro Panel Products Limited,26338,SMALLCAP
"1,346",MICEL,MIC Electronics Limited,26241,SMALLCAP
"1,347",ORICONENT,Oricon Enterprises Limited,26227,SMALLCAP
"1,348",20MICRONS,20 Microns Limited,26218,SMALLCAP
"1,349",MWL,Mangalam Worldwide Limited,26216,SMALLCAP
"1,350",MINDTECK,Mindteck (India) Limited,26149,SMALLCAP
"1,351",BMETRICS,Bombay Metrics Supply Chain Limited,26106,SMALLCAP
"1,352",GOKUL,Gokul Refoils and Solvent Limited,26036,SMALLCAP
"1,353",SECL,Salasar Exteriors and Contour Limited,25989,SMALLCAP
"1,354",DUGLOBAL,DUDIGITAL GLOBAL LIMITED,25970,SMALLCAP
"1,355",WEL,Wonder Electricals Limited,25957,SMALLCAP
"1,356",SUPERHOUSE,Superhouse Limited,25947,SMALLCAP
"1,357",LOYALTEX,Loyal Textile Mills Limited,25922,SMALLCAP
"1,358",BPL,BPL Limited,25859,SMALLCAP
"1,359",BIRLAMONEY,Aditya Birla Money Limited,25714,SMALLCAP
"1,360",GPTINFRA,GPT Infraprojects Limited,25625,SMALLCAP
"1,361",E2E,E2E Networks Limited,25585,SMALLCAP
"1,362",SHIVAMAUTO,Shivam Autotech Limited,25544,SMALLCAP
"1,363",DCMNVL,DCM Nouvelle Limited,25215,SMALLCAP
"1,364",MAZDA,Mazda Limited,24821,SMALLCAP
"1,365",MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,24707,SMALLCAP
"1,366",WINDMACHIN,Windsor Machines Limited,24544,SMALLCAP
"1,367",BASML,Bannari Amman Spinning Mills Limited,24316,SMALLCAP
"1,368",WALCHANNAG,Walchandnagar Industries Limited,24223,SMALLCAP
"1,369",SEJALLTD,Sejal Glass Limited,24083,SMALLCAP
"1,370",UCALFUEL,Ucal Fuel Systems Limited,23993,SMALLCAP
"1,371",MAHEPC,Mahindra EPC Irrigation Limited,23983,SMALLCAP
"1,372",V2RETAIL,V2 Retail Limited,23969,SMALLCAP
"1,373",SAKUMA,Sakuma Exports Limited,23925,SMALLCAP
"1,374",VERTOZ,Vertoz Advertising Limited,23910,SMALLCAP
"1,375",KMSUGAR,K.M.Sugar Mills Limited,23874,SMALLCAP
"1,376",ASHIMASYN,Ashima Limited,23862,SMALLCAP
"1,377",UFO,UFO Moviez India Limited,23841,SMALLCAP
"1,378",VIKASECO,Vikas EcoTech Limited,23714,SMALLCAP
"1,379",SAKHTISUG,Sakthi Sugars Limited,23710,SMALLCAP
"1,380",MAHESHWARI,Maheshwari Logistics Limited,23574,SMALLCAP
"1,381",MAANALU,Maan Aluminium Limited,23540,SMALLCAP
"1,382",HUBTOWN,Hubtown Limited,23511,SMALLCAP
"1,383",REPL,Rudrabhishek Enterprises Limited,23412,SMALLCAP
"1,384",QMSMEDI,QMS Medical Allied Services Limited,23330,SMALLCAP
"1,385",MANAKSTEEL,Manaksia Steels Limited,23265,SMALLCAP
"1,386",EMAMIREAL,Emami Realty Limited,23236,SMALLCAP
"1,387",GENCON,Generic Engineering Construction and Projects Limited,23177,SMALLCAP
"1,388",STARPAPER,Star Paper Mills Limited,22843,SMALLCAP
"1,389",GUJAPOLLO,Gujarat Apollo Industries Limited,22745,SMALLCAP
"1,390",JAYSREETEA,Jayshree Tea & Industries Limited,22712,SMALLCAP
"1,391",NDL,Nandan Denim Limited,22631,SMALLCAP
"1,392",BCONCEPTS,Brand Concepts Limited,22525,SMALLCAP
"1,393",GIRRESORTS,GIR Natureview Resorts Limited,22472,SMALLCAP
"1,394",SMLT,Sarthak Metals Limited,22451,SMALLCAP
"1,395",TPLPLASTEH,TPL Plastech Limited,22309,SMALLCAP
"1,396",TEMBO,Tembo Global Industries Limited,22224,SMALLCAP
"1,397",DANGEE,Dangee Dums Limited,22095,SMALLCAP
"1,398",NIPPOBATRY,Indo-National Limited,22069,SMALLCAP
"1,399",ASIANHOTNR,Asian Hotels (North) Limited,22041,SMALLCAP
"1,400",BRNL,Bharat Road Network Limited,22037,SMALLCAP
"1,401",PPAP,PPAP Automotive Limited,21980,SMALLCAP
"1,402",PASUPTAC,Pasupati Acrylon Limited,21882,SMALLCAP
"1,403",FROG,Frog Cellsat Limited,21810,SMALLCAP
"1,404",ASAHISONG,Asahi Songwon Colors Limited,21801,SMALLCAP
"1,405",PRECOT,Precot Limited,21792,SMALLCAP
"1,406",MEP,MEP Infrastructure Developers Limited,21738,SMALLCAP
"1,407",VENUSREM,Venus Remedies Limited,21715,SMALLCAP
"1,408",KILITCH,Kilitch Drugs (India) Limited,21691,SMALLCAP
"1,409",BTML,Bodhi Tree Multimedia Limited,21618,SMALLCAP
"1,410",MEGASTAR,Megastar Foods Limited,21508,SMALLCAP
"1,411",DRCSYSTEMS,DRC Systems India Limited,21446,SMALLCAP
"1,412",ZODIACLOTH,Zodiac Clothing Company Limited,21276,SMALLCAP
"1,413",HILTON,Hilton Metal Forging Limited,20979,SMALLCAP
"1,414",INDOTHAI,Indo Thai Securities Limited,20855,SMALLCAP
"1,415",JITFINFRA,JITF Infralogistics Limited,20846,SMALLCAP
"1,416",EROSMEDIA,Eros International Media Limited,20765,SMALLCAP
"1,417",DEVIT,Dev Information Technology Limited,20725,SMALLCAP
"1,418",BIL,Bhartiya International Limited,20703,SMALLCAP
"1,419",EIMCOELECO,Eimco Elecon (India) Limited,20547,SMALLCAP
"1,420",ANMOL,Anmol India Limited,20512,SMALLCAP
"1,421",COASTCORP,Coastal Corporation Limited,20384,SMALLCAP
"1,422",RAJTV,Raj Television Network Limited,20376,SMALLCAP
"1,423",KORE,Jay Jalaram Technologies Limited,20357,SMALLCAP
"1,424",RELCAPITAL,Reliance Capital Limited,20217,SMALLCAP
"1,425",MGEL,Mangalam Global Enterprise Limited,20091,SMALLCAP
"1,426",FOCE,Foce India Limited,20061,SMALLCAP
"1,427",INDTERRAIN,Indian Terrain Fashions Limited,19976,SMALLCAP
"1,428",TAKE,Take Solutions Limited,19971,SMALLCAP
"1,429",TOTAL,Total Transport Systems Limited,19957,SMALLCAP
"1,430",ACCURACY,Accuracy Shipping Limited,19949,SMALLCAP
"1,431",AVG,AVG Logistics Limited,19894,SMALLCAP
"1,432",HARRMALAYA,Harrisons  Malayalam Limited,19784,SMALLCAP
"1,433",SHREYANIND,Shreyans Industries Limited,19742,SMALLCAP
"1,434",LOKESHMACH,Lokesh Machines Limited,19686,SMALLCAP
"1,435",LGBFORGE,LGB Forge Limited,19652,SMALLCAP
"1,436",SYSTANGO,Systango Technologies Limited,19480,SMALLCAP
"1,437",SIGMA,Sigma Solve Limited,19440,SMALLCAP
"1,438",MARALOVER,Maral Overseas Limited,19426,SMALLCAP
"1,439",ABAN,Aban Offshore Limited,19406,SMALLCAP
"1,440",BAFNAPH,Bafna Pharmaceuticals Limited,19398,SMALLCAP
"1,441",BEDMUTHA,Bedmutha Industries Limited,19391,SMALLCAP
"1,442",SIMPLEXINF,Simplex Infrastructures Limited,19314,SMALLCAP
"1,443",ARIES,Aries Agro Limited,19305,SMALLCAP
"1,444",DTIL,Dhunseri Tea & Industries Limited,19087,SMALLCAP
"1,445",KRITINUT,Kriti Nutrients Limited,19039,SMALLCAP
"1,446",IVC,IL&FS Investment Managers Limited,18528,SMALLCAP
"1,447",IITL,Industrial Investment Trust Limited,18433,SMALLCAP
"1,448",SWASTIK,Swastik Pipe Limited,18423,SMALLCAP
"1,449",AARON,Aaron Industries Limited,18416,SMALLCAP
"1,450",VITAL,Vital Chemtech Limited,18406,SMALLCAP
"1,451",BEWLTD,BEW Engineering Limited,18340,SMALLCAP
"1,452",NILAINFRA,Nila Infrastructures Limited,18316,SMALLCAP
"1,453",INDOTECH,Indo Tech Transformers Limited,18261,SMALLCAP
"1,454",PVP,PVP Ventures Limited,18134,SMALLCAP
"1,455",AHLEAST,Asian Hotels (East) Limited,18035,SMALLCAP
"1,456",SAH,Sah Polymers Limited,18019,SMALLCAP
"1,457",TIPSFILMS,Tips Films Limited,17951,SMALLCAP
"1,458",PHANTOMFX,Phantom Digital Effects Limited,17821,SMALLCAP
"1,459",DUCOL,Ducol Organics And Colours Limited,17732,SMALLCAP
"1,460",KANPRPLA,Kanpur Plastipack Limited,17690,SMALLCAP
"1,461",VINNY,Vinny Overseas Limited,17679,SMALLCAP
"1,462",MCLEODRUSS,Mcleod Russel India Limited,17653,SMALLCAP
"1,463",TRF,TRF Limited,17624,SMALLCAP
"1,464",ALLETEC,All E Technologies Limited,17599,SMALLCAP
"1,465",MANOMAY,Manomay Tex India Limited,17591,SMALLCAP
"1,466",INSPIRISYS,Inspirisys Solutions Limited,17511,SMALLCAP
"1,467",AIRAN,Airan Limited,17378,SMALLCAP
"1,468",MODISONLTD,MODISON LIMITED,17345,SMALLCAP
"1,469",MURUDCERA,Murudeshwar Ceramics Limited,17309,SMALLCAP
"1,470",TIRUPATI,Shree Tirupati Balajee FIBC Limited,17267,SMALLCAP
"1,471",PAR,Par Drugs And Chemicals Limited,17226,SMALLCAP
"1,472",SGIL,Synergy Green Industries Limited,16977,SMALLCAP
"1,473",SPLIL,SPL Industries Limited,16965,SMALLCAP
"1,474",GEEKAYWIRE,Geekay Wires Limited,16838,SMALLCAP
"1,475",PALREDTEC,Palred Technologies Limited,16728,SMALLCAP
"1,476",ESSARSHPNG,Essar Shipping Limited,16558,SMALLCAP
"1,477",SIL,Standard Industries Limited,16533,SMALLCAP
"1,478",PRITI,Priti International Limited,16528,SMALLCAP
"1,479",AKSHARCHEM,AksharChem India Limited,16472,SMALLCAP
"1,480",RAMANEWS,Shree Rama Newsprint Limited,16449,SMALLCAP
"1,481",RUCHINFRA,Ruchi Infrastructure Limited,16419,SMALLCAP
"1,482",ALANKIT,Alankit Limited,16393,SMALLCAP
"1,483",MEGASOFT,Megasoft Limited,16303,SMALLCAP
"1,484",IZMO,IZMO Limited,16237,SMALLCAP
"1,485",GULFPETRO,GP Petroleums Limited,16188,SMALLCAP
"1,486",TOUCHWOOD,Touchwood Entertainment Limited,16153,SMALLCAP
"1,487",SARVESHWAR,Sarveshwar Foods Limited,16128,SMALLCAP
"1,488",TARMAT,Tarmat Limited,16082,SMALLCAP
"1,489",RPPL,Rajshree Polypack Limited,16080,SMALLCAP
"1,490",IEL,Indiabulls Enterprises Limited,15966,SMALLCAP
"1,491",BHARATGEAR,Bharat Gears Limited,15885,SMALLCAP
"1,492",GOLDTECH,Goldstone Technologies Limited,15856,SMALLCAP
"1,493",MBLINFRA,MBL Infrastructure Limited,15766,SMALLCAP
"1,494",PROPEQUITY,P. E. Analytics Limited,15760,SMALLCAP
"1,495",EMKAY,Emkay Global Financial Services Limited,15745,SMALLCAP
"1,496",IL&FSENGG,IL&FS Engineering and Construction Company Limited,15735,SMALLCAP
"1,497",BSL,BSL Limited,15726,SMALLCAP
"1,498",UNITEDPOLY,United Polyfab Gujarat Limited,15703,SMALLCAP
"1,499",PASHUPATI,Pashupati Cotspin Limited,15605,SMALLCAP
"1,500",SHIVATEX,Shiva Texyarn Limited,15536,SMALLCAP
"1,501",MANGALAM,Mangalam Drugs And Organics Limited,15512,SMALLCAP
"1,502",KRISHNADEF,Krishna Defence and Allied Industries Limited,15478,SMALLCAP
"1,503",PREMIERPOL,Premier Polyfilm Limited,15429,SMALLCAP
"1,504",SMSLIFE,SMS Lifesciences India Limited,15420,SMALLCAP
"1,505",GOLDSTAR,Goldstar Power Limited,15405,SMALLCAP
"1,506",BROOKS,Brooks Laboratories Limited,15402,SMALLCAP
"1,507",VAISHALI,Vaishali Pharma Limited,15387,SMALLCAP
"1,508",ALMONDZ,Almondz Global Securities Limited,15376,SMALLCAP
"1,509",3RDROCK,3rd Rock Multimedia Limited,15316,SMALLCAP
"1,510",PRESSMN,Pressman Advertising Limited,15299,SMALLCAP
"1,511",AARVI,Aarvi Encon Limited,15272,SMALLCAP
"1,512",AKSHAR,Akshar Spintex Limited,15249,SMALLCAP
"1,513",LATTEYS,Latteys Industries Limited,15236,SMALLCAP
"1,514",VISESHINFO,Visesh Infotecnics Limited,15098,SMALLCAP
"1,515",BHAGYANGR,Bhagyanagar India Limited,15038,SMALLCAP
"1,516",TTL,T T Limited,14984,SMALLCAP
"1,517",SADBHAV,Sadbhav Engineering Limited,14841,SMALLCAP
"1,518",COMPUSOFT,Compucom Software Limited,14796,SMALLCAP
"1,519",KAKATCEM,Kakatiya Cement Sugar & Industries Limited,14794,SMALLCAP
"1,520",RPPINFRA,R.P.P. Infra Projects Limited,14790,SMALLCAP
"1,521",SVLL,Shree Vasu Logistics Limited,14780,SMALLCAP
"1,522",SMARTLINK,Smartlink Holdings Limited,14763,SMALLCAP
"1,523",ASPINWALL,Aspinwall and Company Limited,14761,SMALLCAP
"1,524",LAMBODHARA,Lambodhara Textiles Limited,14684,SMALLCAP
"1,525",DJML,DJ Mediaprint & Logistics Limited,14683,SMALLCAP
"1,526",TIL,TIL Limited,14649,SMALLCAP
"1,527",ELGIRUBCO,Elgi Rubber Company Limited,14640,SMALLCAP
"1,528",JAINAM,Jainam Ferro Alloys (I) Limited,14585,SMALLCAP
"1,529",WORTH,Worth Peripherals Limited,14491,SMALLCAP
"1,530",ISFT,Intrasoft Technologies Limited,14481,SMALLCAP
"1,531",GINNIFILA,Ginni Filaments Limited,14475,SMALLCAP
"1,532",PILITA,PIL ITALICA LIFESTYLE LIMITED,14453,SMALLCAP
"1,533",SOFTTECH,Softtech Engineers Limited,14437,SMALLCAP
"1,534",DUCON,Ducon Infratechnologies Limited,14427,SMALLCAP
"1,535",VETO,Veto Switchgears And Cables Limited,14374,SMALLCAP
"1,536",RANEENGINE,Rane Engine Valve Limited,14267,SMALLCAP
"1,537",AVONMORE,Avonmore Capital & Management Services Limited,14222,SMALLCAP
"1,538",KBCGLOBAL,KBC Global Limited,14145,SMALLCAP
"1,539",PANSARI,Pansari Developers Limited,14071,SMALLCAP
"1,540",MODIRUBBER,Modi Rubber Limited,14060,SMALLCAP
"1,541",INVENTURE,Inventure Growth & Securities Limited,13860,SMALLCAP
"1,542",KAPSTON,Kapston Services Limited,13831,SMALLCAP
"1,543",AKSHOPTFBR,Aksh Optifibre Limited,13748,SMALLCAP
"1,544",JMA,Jullundur Motor Agency (Delhi) Limited,13739,SMALLCAP
"1,545",EMMBI,Emmbi Industries Limited,13736,SMALLCAP
"1,546",NITCO,Nitco Limited,13725,SMALLCAP
"1,547",IRIS,Iris Business Services Limited,13669,SMALLCAP
"1,548",SHERA,Shera Energy Limited,13559,SMALLCAP
"1,549",DRSDILIP,DRS Dilip Roadlines Limited,13549,SMALLCAP
"1,550",UNITEDTEA,The United Nilgiri Tea Estates Company Limited,13476,SMALLCAP
"1,551",JOCIL,Jocil Limited,13455,SMALLCAP
"1,552",MANAKALUCO,Manaksia Aluminium Company Limited,13369,SMALLCAP
"1,553",VIPULLTD,Vipul Limited,13258,SMALLCAP
"1,554",SIKKO,Sikko Industries Limited,13255,SMALLCAP
"1,555",GILLANDERS,Gillanders Arbuthnot & Company Limited,13158,SMALLCAP
"1,556",SVPGLOB,SVP GLOBAL TEXTILES LIMITED,13093,SMALLCAP
"1,557",VISASTEEL,Visa Steel Limited,13084,SMALLCAP
"1,558",DCM,DCM  Limited,13084,SMALLCAP
"1,559",INTENTECH,Intense Technologies Limited,12991,SMALLCAP
"1,560",TEXMOPIPES,Texmo Pipes and Products Limited,12977,SMALLCAP
"1,561",WEIZMANIND,Weizmann Limited,12957,SMALLCAP
"1,562",BYKE,The Byke Hospitality Ltd,12952,SMALLCAP
"1,563",RAJSREESUG,Rajshree Sugars & Chemicals Limited,12923,SMALLCAP
"1,564",ZODIAC,Zodiac Energy Limited,12914,SMALLCAP
"1,565",ARSHIYA,Arshiya Limited,12910,SMALLCAP
"1,566",UMANGDAIRY,Umang Dairies Limited,12905,SMALLCAP
"1,567",LOVABLE,Lovable Lingerie Limited,12898,SMALLCAP
"1,568",HOMESFY,Homesfy Realty Limited,12801,SMALLCAP
"1,569",ALPHAGEO,Alphageo (India) Limited,12745,SMALLCAP
"1,570",NDGL,Naga Dhunseri Group Limited,12715,SMALLCAP
"1,571",PRAXIS,Praxis Home Retail Limited,12713,SMALLCAP
"1,572",ARTNIRMAN,Art Nirman Limited,12653,SMALLCAP
"1,573",SHIGAN,Shigan Quantum Technologies Limited,12575,SMALLCAP
"1,574",NOIDATOLL,Noida Toll Bridge Company Limited,12568,SMALLCAP
"1,575",UMAEXPORTS,Uma Exports Limited,12543,SMALLCAP
"1,576",VELS,Vels Film International Limited,12521,SMALLCAP
"1,577",ATLANTA,Atlanta  Limited,12510,SMALLCAP
"1,578",MOTOGENFIN,The Motor & General Finance Limited,12509,SMALLCAP
"1,579",AVROIND,AVRO INDIA LIMITED,12493,SMALLCAP
"1,580",SALONA,Salona Cotspin Limited,12464,SMALLCAP
"1,581",INDIANCARD,Indian Card Clothing Company Limited,12459,SMALLCAP
"1,582",SPTL,Sintex Plastics Technology Limited,12405,SMALLCAP
"1,583",PRITIKAUTO,Pritika Auto Industries Limited,12370,SMALLCAP
"1,584",URAVI,Uravi T and Wedge Lamps Limited,12359,SMALLCAP
"1,585",IVP,IVP Limited,12293,SMALLCAP
"1,586",MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,12282,SMALLCAP
"1,587",SOMATEX,Soma Textiles & Industries Limited,12255,SMALLCAP
"1,588",LEXUS,Lexus Granito (India) Limited,12215,SMALLCAP
"1,589",WANBURY,Wanbury Limited,12199,SMALLCAP
"1,590",LOTUSEYE,Lotus Eye Hospital and Institute Limited,12187,SMALLCAP
"1,591",KREBSBIO,Krebs Biochemicals and Industries Limited,12182,SMALLCAP
"1,592",RNAVAL,Reliance Naval and Engineering Limited,12170,SMALLCAP
"1,593",WSI,W S Industries (I) Limited,12125,SMALLCAP
"1,594",RHFL,Reliance Home Finance Limited,12114,SMALLCAP
"1,595",HDIL,Housing Development and Infrastructure Limited,12087,SMALLCAP
"1,596",DCI,Dc Infotech And Communication Limited,12048,SMALLCAP
"1,597",RVHL,Ravinder Heights Limited,12036,SMALLCAP
"1,598",XELPMOC,Xelpmoc Design And Tech Limited,11906,SMALLCAP
