stock1 - stock2,corr
./data\20MICRONS.json - ./data\BANCOINDIA.json,0.20046712625330407
./data\20MICRONS.json - ./data\BANDHANBNK.json,-0.030374310097232946
./data\20MICRONS.json - ./data\BANG.json,0.03608045219026728
./data\20MICRONS.json - ./data\BANKA.json,-0.0018041723166758476
./data\20MICRONS.json - ./data\BANKBARODA.json,0.23140681674888353
./data\20MICRONS.json - ./data\BANKINDIA.json,0.2272705405207555
./data\20MICRONS.json - ./data\BANSWRAS.json,-0.00023631149856551082
./data\20MICRONS.json - ./data\BARBEQUE.json,
./data\20MICRONS.json - ./data\BASF.json,0.17488885377249036
./data\20MICRONS.json - ./data\BASML.json,0.032255232067228405
./data\20MICRONS.json - ./data\BATAINDIA.json,0.18410871845231822
./data\20MICRONS.json - ./data\BAYERCROP.json,0.13623805507778544
./data\20MICRONS.json - ./data\BBL.json,0.21483076112532787
./data\20MICRONS.json - ./data\BBOX.json,0.054881984910770676
./data\20MICRONS.json - ./data\BBTC.json,0.2529167667813816
./data\20MICRONS.json - ./data\BBTCL.json,0.05447143835728768
./data\20MICRONS.json - ./data\BCG.json,0.008337809908402112
./data\20MICRONS.json - ./data\BCLIND.json,
./data\20MICRONS.json - ./data\BCONCEPTS.json,-0.005572685557261543
./data\20MICRONS.json - ./data\BDL.json,-0.07553508267732244
./data\20MICRONS.json - ./data\BEARDSELL.json,-0.001460249820929143
./data\20MICRONS.json - ./data\BECTORFOOD.json,
./data\20MICRONS.json - ./data\BEDMUTHA.json,-0.02411962882182865
./data\20MICRONS.json - ./data\BEL.json,0.2073067433708934
./data\20MICRONS.json - ./data\BEML.json,0.24082035237280913
./data\20MICRONS.json - ./data\BEPL.json,-0.0067171346815240104
./data\20MICRONS.json - ./data\BERGEPAINT.json,0.153532406351206
./data\20MICRONS.json - ./data\BFINVEST.json,-0.053127378980624994
./data\20MICRONS.json - ./data\BFUTILITIE.json,0.21822503536082122
./data\20MICRONS.json - ./data\BGLOBAL.json,0.025236043410725127
./data\20MICRONS.json - ./data\BGRENERGY.json,0.26124646592074274
./data\20MICRONS.json - ./data\BHAGCHEM.json,
./data\20MICRONS.json - ./data\BHAGERIA.json,-0.04605236403182017
./data\20MICRONS.json - ./data\BHAGYANGR.json,0.047788426288209986
./data\20MICRONS.json - ./data\BHANDARI.json,-0.05548886529048698
./data\20MICRONS.json - ./data\BHARATFORG.json,0.22121880655580334
./data\20MICRONS.json - ./data\BHARATGEAR.json,0.007083262847810821
./data\20MICRONS.json - ./data\BHARATRAS.json,0.022548941865365924
./data\20MICRONS.json - ./data\BHARATWIRE.json,-0.01613604240402294
./data\20MICRONS.json - ./data\BHARTIARTL.json,0.1410340494052865
./data\20MICRONS.json - ./data\BHEL.json,0.2159138672193877
./data\20MICRONS.json - ./data\BIGBLOC.json,0.03383269785256225
./data\20MICRONS.json - ./data\BIKAJI.json,
./data\20MICRONS.json - ./data\BIL.json,0.13421638724107168
./data\20MICRONS.json - ./data\BINANIIND.json,0.17156707182863443
./data\20MICRONS.json - ./data\BIOCON.json,0.16236006257747276
./data\20MICRONS.json - ./data\BIOFILCHEM.json,-0.0533487942105121
./data\20MICRONS.json - ./data\BIRLACABLE.json,0.04910980371090764
./data\20MICRONS.json - ./data\BIRLACORPN.json,0.19458893303988972
./data\20MICRONS.json - ./data\BIRLAMONEY.json,0.21144572692697228
./data\20MICRONS.json - ./data\BIRLATYRE.json,-0.21018983661941296
./data\20MICRONS.json - ./data\BKMINDST.json,-0.013289738410078213
./data\20MICRONS.json - ./data\BLAL.json,
./data\20MICRONS.json - ./data\BLBLIMITED.json,0.008611907880490046
./data\20MICRONS.json - ./data\BLISSGVS.json,0.0033385048864012796
./data\20MICRONS.json - ./data\BLKASHYAP.json,0.19449802922200224
./data\20MICRONS.json - ./data\BLS.json,0.07115044266333705
./data\20MICRONS.json - ./data\BLUECOAST.json,0.07183305975474308
./data\20MICRONS.json - ./data\BLUEDART.json,0.11591416615098861
./data\20MICRONS.json - ./data\BLUESTARCO.json,0.15697579705226852
./data\20MICRONS.json - ./data\BODALCHEM.json,0.015942207287517572
./data\20MICRONS.json - ./data\BOHRAIND.json,-0.0010038420219628198
./data\20MICRONS.json - ./data\BOMDYEING.json,0.16556487329827585
./data\20MICRONS.json - ./data\BOROLTD.json,
./data\20MICRONS.json - ./data\BORORENEW.json,0.020556775503520593
./data\20MICRONS.json - ./data\BOSCHLTD.json,0.17352307469540598
./data\20MICRONS.json - ./data\BPCL.json,0.17203847714526008
./data\20MICRONS.json - ./data\BPL.json,0.25364777915493475
./data\20MICRONS.json - ./data\BRIGADE.json,0.17866429996583516
./data\20MICRONS.json - ./data\BRITANNIA.json,0.17348650707716046
./data\20MICRONS.json - ./data\BRNL.json,-0.03778323535193718
./data\20MICRONS.json - ./data\BROOKS.json,-0.033301578222158464
./data\20MICRONS.json - ./data\BSE.json,0.02918126092907082
./data\20MICRONS.json - ./data\BSHSL.json,0.009943337279046218
./data\20MICRONS.json - ./data\BSL.json,0.021177911846245543
./data\20MICRONS.json - ./data\BSOFT.json,0.18052031440129152
./data\20MICRONS.json - ./data\BTML.json,
./data\20MICRONS.json - ./data\BURNPUR.json,0.16759328469449186
./data\20MICRONS.json - ./data\BUTTERFLY.json,0.029639287633135204
./data\20MICRONS.json - ./data\BVCL.json,0.031847395547220624
./data\20MICRONS.json - ./data\BYKE.json,-0.014956682488499426
./data\20MICRONS.json - ./data\CALSOFT.json,0.01784120075169194
./data\20MICRONS.json - ./data\CAMLINFINE.json,-0.03933152095878286
./data\20MICRONS.json - ./data\CAMPUS.json,
./data\20MICRONS.json - ./data\CAMS.json,
./data\20MICRONS.json - ./data\CANBK.json,0.24494351993643448
./data\20MICRONS.json - ./data\CANFINHOME.json,0.21118045502264726
./data\20MICRONS.json - ./data\CANTABIL.json,0.0013856957638004432
./data\20MICRONS.json - ./data\CAPACITE.json,0.022162454080248917
./data\20MICRONS.json - ./data\CAPLIPOINT.json,-0.012490846649766156
./data\20MICRONS.json - ./data\CAPTRUST.json,-0.10840976473247983
./data\20MICRONS.json - ./data\CARBORUNIV.json,0.1768751950484276
./data\20MICRONS.json - ./data\CAREERP.json,0.004354578574140065
./data\20MICRONS.json - ./data\CARERATING.json,0.0234092704231257
./data\20MICRONS.json - ./data\CARTRADE.json,
./data\20MICRONS.json - ./data\CARYSIL.json,
./data\20MICRONS.json - ./data\CASTROLIND.json,0.062302639505640314
./data\20MICRONS.json - ./data\CCHHL.json,0.026346906346184324
./data\20MICRONS.json - ./data\CCL.json,0.17420333392809353
./data\20MICRONS.json - ./data\CDSL.json,-0.029962156520126123
./data\20MICRONS.json - ./data\CEATLTD.json,0.17695704323851624
./data\20MICRONS.json - ./data\CELEBRITY.json,0.05579025090562821
./data\20MICRONS.json - ./data\CENTENKA.json,0.23239086295380773
./data\20MICRONS.json - ./data\CENTEXT.json,0.02165128114518188
./data\20MICRONS.json - ./data\CENTRALBK.json,0.21516164435085536
./data\20MICRONS.json - ./data\CENTRUM.json,0.06848100014085905
./data\20MICRONS.json - ./data\CENTUM.json,0.01706400716157768
./data\20MICRONS.json - ./data\CENTURYPLY.json,0.1756668167076847
./data\20MICRONS.json - ./data\CENTURYTEX.json,0.241649979184133
./data\20MICRONS.json - ./data\CERA.json,0.12802377663239634
./data\20MICRONS.json - ./data\CEREBRAINT.json,0.028788555173019044
./data\20MICRONS.json - ./data\CESC.json,0.2135671478786434
./data\20MICRONS.json - ./data\CGCL.json,0.011181794165855359
./data\20MICRONS.json - ./data\CGPOWER.json,0.1499468679567187
./data\20MICRONS.json - ./data\CHALET.json,-0.007440985170899848
